第1页,,,,,,,1.准确性,1,2,0,1,1,,2.相关性,3,1,0,0,1,,3.简洁性,0,1,1,0,3,,4.有用性,3,0,1,0,1,,5.可读性,0,0,0,2,3
,,,,,,,1.准确性,3,1,0,0,1,,2.相关性,2,0,2,0,1,,3.简洁性,0,1,1,0,3,,4.有用性,1,2,0,0,2,,5.可读性,0,0,1,2,2
2. 1640854,,,,,,,1.准确性,2,1,0,1,1,,2.相关性,3,1,0,0,1,,3.简洁性,0,1,0,2,2,,4.有用性,2,0,2,0,1,,5.可读性,0,0,0,2,3
问题,1（极差）,2,3,4,5（优秀）,,1.准确性,1,1,2,0,1,,2.相关性,1,2,0,0,2,,3.简洁性,0,1,1,1,2,,4.有用性,2,0,2,0,1,,5.可读性,0,0,0,2,3
1.准确性,1,2,0,1,1,,1.准确性,4,0,0,0,1,,2.相关性,2,1,1,0,1,,3.简洁性,1,1,0,0,3,,4.有用性,3,1,0,0,1,,5.可读性,0,0,0,2,3
2.相关性,3,1,0,0,1,,1.准确性,4,0,0,0,1,,2.相关性,3,1,0,0,1,,3.简洁性,0,2,0,0,3,,4.有用性,2,2,0,0,1,,5.可读性,0,0,0,2,3
3.简洁性,0,1,1,0,3,,1.准确性,3,0,1,0,1,,2.相关性,3,1,1,0,0,,3.简洁性,0,1,0,3,1,,4.有用性,3,1,1,0,0,,5.可读性,0,0,0,2,3
4.有用性,3,0,1,0,1,,1.准确性,1,2,1,0,1,,2.相关性,2,1,1,0,1,,3.简洁性,0,0,2,2,1,,4.有用性,2,0,2,0,1,,5.可读性,0,0,1,2,2
5.可读性,0,0,0,2,3,,1.准确性,3,0,1,0,1,,2.相关性,4,0,0,0,1,,3.简洁性,0,2,0,1,2,,4.有用性,4,0,0,0,1,,5.可读性,0,0,0,3,2
有效填写量,5,,,,,,1.准确性,4,0,0,0,1,,2.相关性,4,0,0,0,1,,3.简洁性,0,1,1,1,2,,4.有用性,4,0,0,0,1,,5.可读性,0,0,0,3,2
,,,,,,,1.准确性,4,1,0,0,0,,2.相关性,4,1,0,0,0,,3.简洁性,1,1,1,0,2,,4.有用性,4,0,1,0,0,,5.可读性,0,0,2,0,3
3. 1717768,,,,,,,1.准确性,3,0,0,1,1,,2.相关性,3,1,0,0,1,,3.简洁性,0,1,0,3,1,,4.有用性,2,1,1,0,1,,5.可读性,0,0,0,1,4
问题,1（极差）,2,3,4,5（优秀）,,1.准确性,1,0,2,0,2,,2.相关性,0,1,2,0,2,,3.简洁性,0,1,0,0,4,,4.有用性,1,0,2,0,2,,5.可读性,0,0,0,1,4
1.准确性,3,1,0,0,1,,1.准确性,3,1,0,0,1,,2.相关性,4,0,1,0,0,,3.简洁性,0,1,1,1,2,,4.有用性,4,1,0,0,0,,5.可读性,0,0,0,3,2
2.相关性,2,0,2,0,1,,1.准确性,3,0,1,0,1,,2.相关性,4,1,0,0,0,,3.简洁性,1,0,1,0,3,,4.有用性,3,1,1,0,0,,5.可读性,0,0,0,2,3
3.简洁性,0,1,1,0,3,,1.准确性,2,1,0,0,2,,2.相关性,1,2,0,1,1,,3.简洁性,0,0,1,1,3,,4.有用性,2,1,1,1,0,,5.可读性,0,0,0,3,2
4.有用性,1,2,0,0,2,,1.准确性,4,0,0,0,1,,2.相关性,3,1,0,1,0,,3.简洁性,1,0,0,3,1,,4.有用性,4,1,0,0,0,,5.可读性,0,0,0,3,2
5.可读性,0,0,1,2,2,,1.准确性,2,0,0,1,2,,2.相关性,1,0,0,1,3,,3.简洁性,0,1,0,1,3,,4.有用性,1,0,0,2,2,,5.可读性,0,0,1,1,3
有效填写量,5,,,,,,1.准确性,1,0,0,1,3,,2.相关性,1,0,0,0,4,,3.简洁性,0,0,0,1,4,,4.有用性,1,0,0,1,3,,5.可读性,0,0,0,1,4
,,,,,,,1.准确性,0,0,3,0,2,,2.相关性,0,0,2,1,2,,3.简洁性,0,1,0,2,2,,4.有用性,1,0,1,1,2,,5.可读性,0,0,0,2,3
4. 996392,,,,,,,1.准确性,0,0,1,0,4,,2.相关性,0,0,0,1,4,,3.简洁性,0,0,0,2,3,,4.有用性,0,0,0,2,3,,5.可读性,0,0,0,1,4
问题,1（极差）,2,3,4,5（优秀）,,1.准确性,0,1,0,1,3,,2.相关性,0,0,1,1,3,,3.简洁性,0,0,1,3,1,,4.有用性,0,1,0,1,3,,5.可读性,0,0,1,1,3
1.准确性,2,1,0,1,1,,1.准确性,0,0,1,1,3,,2.相关性,0,0,1,1,3,,3.简洁性,0,0,1,1,3,,4.有用性,0,0,1,1,3,,5.可读性,0,0,1,1,3
2.相关性,3,1,0,0,1,,1.准确性,2,2,1,0,0,,2.相关性,2,3,0,0,0,,3.简洁性,1,0,3,0,1,,4.有用性,2,2,1,0,0,,5.可读性,0,1,0,2,2
3.简洁性,0,1,0,2,2,,1.准确性,4,1,0,0,0,,2.相关性,3,2,0,0,0,,3.简洁性,0,1,2,0,2,,4.有用性,2,2,0,1,0,,5.可读性,0,0,1,2,2
4.有用性,2,0,2,0,1,,1.准确性,4,1,0,0,0,,2.相关性,3,2,0,0,0,,3.简洁性,0,1,1,0,3,,4.有用性,3,2,0,0,0,,5.可读性,0,0,1,1,3
5.可读性,0,0,0,2,3,,1.准确性,4,0,0,1,0,,2.相关性,3,1,1,0,0,,3.简洁性,0,1,0,1,3,,4.有用性,4,1,0,0,0,,5.可读性,0,0,0,1,4
